video_id,title,publishedAt,views,likes,comments
-amHlcPIpgM,PLAYLIST 01 | songs to calm you down after a hard day | my20s,2022-09-14T14:30:11Z,597088,18359,485
N7sf_ijSvU8,Đây là tui khi ở nhà quá lâu 😂 | Choose your apocalypse partner wisely folks 👀 | my20s,2020-03-18T09:42:04Z,113589,11721,872
xKFI7atY3Ew,PLAYLIST 02 | songs for those lazy winter days at home | my20s,2023-01-18T13:01:29Z,106126,3376,60
RyxYD2jgtQ4,THỬ THÁCH CHỤP ẢNH Ở NHỮNG ĐỊA ĐIỂM XẤU XÍ | UGLY LOCATION PHOTOSHOOT CHALLENGE | my20s,2021-01-31T14:00:28Z,205596,12007,601
n3v29rTy_ls,PLAYLIST 03 | lay down and rest for a while | my20s,2023-04-16T14:40:24Z,90620,2441,92
B0VQoQvrFYw,DU HỌC ĐỨC 🇩🇪 | ĐI CHƠI CUỐI TUẦN CÙNG BỌN MÌNH | A very chill TRIP TO MUNICH | my20s ☁️,2019-04-06T09:54:39Z,229126,10442,681
8KUAVOljUY0,A SNOWY MORNING ❄️,2019-01-13T09:45:27Z,288440,9656,363
Z5_zmSIxveQ,Bên bờ biển | South of France | my20s,2024-09-07T15:26:37Z,143740,6499,255
FONtSZ9zRcE,🎄OUR CHRISTMAS IN GERMANY🎄 PART I 🎄,2018-12-24T10:21:54Z,214976,7042,260
1_PDXx5UO18,"Food diary | quán ăn, cafe, món ngon mà mình thích ở Frankfurt | my20s",2022-11-22T13:00:01Z,180400,6309,223
oNj-IWKRpgg,[sub] Hẹn hò ở Paris | my20s,2023-10-04T13:00:38Z,181483,5492,163
hj737rnCPXk,[SUB] Vlogmas EP.2 | LÀM ĐỒ UỐNG GIÁNG SINH | A CHRISTMAS DAY IN MY LIFE | my20s,2021-12-14T13:00:04Z,231108,11119,572
zswvrWAx-g8,"[sub] These days | Tốt nghiệp, mẹ sang chơi với mình, du lịch Bỉ | my20s",2024-03-12T15:07:15Z,188605,8110,269
9bFQLTN_IBo,Gardening Diary | Mùa hè tới rùiii | my20s,2023-05-22T13:42:25Z,154574,5380,408
w8m_2E2SAIY,After work | My night time routine | my20s,2022-08-28T14:01:27Z,234021,8278,645
OTjWSdXqGmc,DẠO NÀY ĂN GÌ ? | FOOD DIARY | my20s,2022-07-06T15:03:50Z,278524,10044,586
eV7Y3wkBOQo,[SUB] LÀM GÌ KHI CUỘC SỐNG TRỞ NÊN BÊ BỐI | getting my sh*t together | my20s,2021-11-30T13:02:39Z,348608,15731,701
sKr6KsHmk6Q,Living alone diary | Day in life of a content creator | my20s,2023-03-21T15:09:16Z,246008,6508,180
vNwcYSAaRfs,"[sub] Weekend getaway 🚂 | chợ đồ cũ, hải sản xô, chill coffee shops,… | my20s",2024-02-12T13:00:16Z,165501,7090,124
bXNBHHmATfQ,[sub] Sớm thu | my20s,2023-10-13T13:02:23Z,160206,4851,191
GcLiFGkzNqA,Living alone diaries | Mình trở lại Đức rùi | my20s,2023-03-12T14:04:45Z,211905,6017,413
DvOIkWVXh3U,MÌNH ĂN GÌ TRONG 1 TUẦN | KITCHEN DIARY | my20s,2023-07-06T13:03:27Z,209450,5542,360
HQJJ-G4nShU,Tập 3 | Một mình ở Osaka | Cuộc sống sau tốt nghiệp,2024-07-02T14:52:32Z,283587,11559,993
I2LXnDttjyY,[sub] Một ngày chăm sóc bản thân và làm việc hiệu quả | my20s,2023-11-10T14:49:32Z,189786,6066,175
WVmy6ZyIY_M,[sub] Rainy days | chill with me after exams | my20s,2023-08-03T14:39:40Z,174569,5980,476
IxXINgW9Yhs,1 TUẦN ĐẾN TRƯỜNG CÙNG MÌNH | my20s,2022-04-29T13:06:14Z,310223,11899,2161
MRKEHvEtVcQ,THRIFT STORE Ở HAMBURG | CHỢ HẢI SẢN | BẢO TÀNG NGHỆ THUẬT | my20s,2021-08-30T12:05:21Z,142533,8083,418
e2HJT5xQiec,[sub] 1 tuần ở Copenhagen | my20s,2023-08-19T13:41:35Z,166323,5500,270
Q5GfooiUVLg,🌺 #thachtrang #my20s #JISOO_FLOWER #지수꽃 #FLOWERchallenge #JISOO #지수 #BLACKPINK #블랙핑크,2023-04-08T08:36:05Z,89529,4298,34
gG9CI-dBqp8,Tập 1 | Mình đến Seoul làm gì? | Cuộc sống sau tốt nghiệp,2024-05-26T13:09:19Z,269426,9511,429
USXKg35kDZk,Tốt nghiệp rồi thì làm gì? | Q&A Update cuộc sống | my20s 🌳,2024-04-20T14:03:47Z,166701,5285,174
0jTAkJlXSsM,GẶP LẠI MẸ VÀ EM TRAI SAU 3 NĂM | UPDATE CHUYỆN ĐI THỬ VIỆC | my20s,2022-07-24T13:03:17Z,332394,13033,796
SVcDyaMOQPg,"[sub] Daily vlog | unbox giày mới, viết bài, selfcare | my20s",2023-11-04T13:00:49Z,155488,5169,197
Fl9uw1urBxE,"[sub] Vlogmas | LÊN NÚI NGẮM TUYẾT, TRANG TRÍ NHÀ ĐÓN GIÁNG SINH 🎄",2023-12-11T13:59:55Z,162991,6911,401
mQScu_-3IzE,[sub] Daily vlog | Mình đã trở lại rùi nè 🪿🌸,2024-01-24T14:00:34Z,160725,6093,296
i7p3kQSXEhc,"[sub] Làm gì khi thiếu cảm hứng sống, procrastinate | Getting our sh*t together 🦊",2023-10-21T06:43:44Z,197120,5863,153
AsEoPqp1Z4Y,BLACKFRIDAY HAUL | MÌNH MUA GÌ DỊP BLACKFRIDAY | my20s,2022-11-30T13:01:18Z,192174,5569,198
HovN78kyKUI,[sub] A week in my life | Đi học đi làm cùng mình | my20s,2023-05-04T13:00:41Z,236414,5778,731
VwGuvzQEhCU,CUỐI TUẦN ĂN GÌ? | GIẢI PHÁP ĂN UỐNG MỚI CHO KÌ THI BẬN RỘN | my20s,2022-03-17T13:00:35Z,221035,8547,278
e4dDHdPK-eg,"[SUB] Vlogmas EP.1 | Trang trí nhà đón giáng sinh, gói quà, mua cây thông 🌲 | my20s",2021-12-08T13:00:17Z,336050,16048,759
EY-d-OgMDmE,"[sub] Weekend in Berlin | nấu ăn, đi chợ đồ cũ | my20s",2023-09-08T15:43:47Z,240776,6222,299
Mmlk1rnG040,Tập 4 | Những ngày cuối ở Osaka | Cuộc sống sau tốt nghiệp,2024-07-10T06:18:47Z,233646,9895,719
xq-Tv_3Yi8g,Trở lại cuộc sống thường ngày | Nghỉ ngơi đi chơi cuối tuần cùng mình | my20s,2022-11-02T15:15:20Z,231976,7565,512
P1sYXwyfNUQ,[sub] Nhật kí mùa hè | summer diary | my20s,2023-08-30T14:58:31Z,266684,10077,668
M9swh2Dj8Vo,THÔNG TIN DU HỌC ĐỨC 2021 | Q&A DU HỌC ĐỨC | my20s x DAAD,2021-01-24T11:22:47Z,237024,10265,758
5V4c6k-fgp4,I’m back | NHỮNG VIỆC MÌNH LÀM SAU KHI NGHỈ VIỆC | xem những khi cuộc sống khó khăn quá ;) | my20s,2023-01-28T12:59:39Z,338115,8640,482
